evaluationStrategy;turnsPlayed;totalExecutionTime;executionTimeP1;executionTimeP2;nodesP1;nodesP2;winCountP1;winCountP2;tieCount
occupiedInRowAsSquareSumDiv1000;7.614087301587301;0.4653039855442183;0.3588064460034007;0.11148732454648522;485.12896825396825;247.5425170068027;3338.0;1227.0;2491.0
occupiedInRowAsMaxDiv1000;7.620323129251701;0.465006036281179;0.35876235515873034;0.11235219841269874;485.2244897959184;247.63888888888889;3215.0;1277.0;2564.0
consecutiveLengthAsSquareSumDiv1000;6.8772675736961455;0.18752555399659826;0.07510856590136052;0.11439587287414964;295.2077664399093;237.3483560090703;3561.0;2050.0;1445.0
consecutiveLengthAsMaxDiv1000;7.227749433106576;0.19842310841836777;0.09100661748866216;0.1095434698129249;314.9029195011338;233.3720238095238;3669.0;1315.0;2072.0
