distance;difference;turnsPlayed;totalExecutionTime;executionTimeP1;executionTimeP2;nodesP1;nodesP2;winCountP1;winCountP2;tieCount
3;;7.9694940476190474;0.14931273883928567;0.04943680877976188;0.10127386160714287;169.56175595238096;214.23065476190476;674.0;123.0;547.0
1;0.04;6.909226190476191;0.12303448809523809;0.008160569196428573;0.116382761904762;32.16815476190476;219.0014880952381;621.0;424.0;299.0
2;0.08;7.142113095238095;0.1298429724702382;0.02614076934523813;0.10492467782738091;43.174107142857146;208.5922619047619;756.0;269.0;319.0
3;0.06;7.525297619047619;0.22671323958333373;0.12296968824404766;0.10601338541666658;107.23363095238095;213.53869047619048;625.0;276.0;443.0
4;0.08;7.472470238095238;0.7425582373511909;0.6377709739583336;0.11295205282738092;474.1108630952381;244.91294642857142;594.0;299.0;451.0
1;0.06;6.894345238095238;0.12438186607142847;0.008152938244047624;0.11753670386904776;32.329613095238095;218.6220238095238;639.0;410.0;295.0
1;0.08;6.901785714285714;0.12704137872023802;0.007985258928571439;0.12038642931547594;32.270833333333336;219.40699404761904;640.0;430.0;274.0
3;0.02;7.546875;0.22755354985119014;0.12672850967261903;0.10304868526785708;107.1889880952381;213.8139880952381;644.0;255.0;445.0
1;;6.850446428571429;0.12174552306547623;0.005741145089285715;0.12119947767857144;32.161458333333336;220.36309523809524;632.0;437.0;275.0
1;0.02;6.863095238095238;0.12853326116071428;0.008272395089285716;0.12202710565476198;32.194940476190474;218.59747023809524;637.0;428.0;279.0
4;0.06;7.543898809523809;0.7488260252976193;0.6492471153273807;0.10709464136904752;473.4278273809524;244.52157738095238;617.0;271.0;456.0
2;;7.052083333333333;0.10691615252976187;0.011516139136904769;0.09673561309523816;48.02232142857143;203.9873511904762;822.0;174.0;348.0
2;0.06;7.2023809523809526;0.13096347544642845;0.026055802083333298;0.10617376041666651;43.39657738095238;209.03199404761904;701.0;278.0;365.0
4;0.02;7.454613095238095;0.7299833787202396;0.6300348980654771;0.10760293973214272;471.90550595238096;244.19940476190476;636.0;275.0;433.0
3;0.04;7.519345238095238;0.2281473206845235;0.12139565401785715;0.10924532812500001;106.81994047619048;214.0;629.0;276.0;439.0
3;0.08;7.5476190476190474;0.22384808779761875;0.12381132514880934;0.10220318526785717;106.9858630952381;213.76636904761904;625.0;250.0;469.0
4;;7.888392857142857;0.3552910081845239;0.24937768526785706;0.11099131101190471;878.3690476190476;271.8311011904762;665.0;168.0;511.0
4;0.04;7.495535714285714;0.7598350803571428;0.6579940133928575;0.10961323065476217;472.2998511904762;244.59895833333334;624.0;264.0;456.0
5;;7.951636904761905;1.26347491294643;1.1162557410714289;0.1627766666666669;4547.412202380952;616.1778273809524;539.0;37.0;768.0
2;0.02;7.146577380952381;0.1307162805059524;0.0273179367559524;0.10474711160714271;43.20014880952381;208.15104166666666;735.0;273.0;336.0
2;0.04;7.154761904761905;0.13163911458333336;0.02497555208333332;0.10791011532738101;43.203125;209.6391369047619;728.0;252.0;364.0
