distance;difference;turnsPlayed;totalExecutionTime;executionTimeP1;executionTimeP2;nodesP1;nodesP2;winCountP1;winCountP2;tieCount
2;0.06;17.72470238095238;0.9871032842261908;0.13736974107142852;0.8572830617559513;144.98660714285714;681.6465773809524;652.0;371.0;321.0
2;;17.584821428571427;0.944783918898808;0.08365638244047612;0.868336278273809;152.07217261904762;674.6495535714286;762.0;269.0;313.0
4;0.02;19.337053571428573;3.3539854508928553;2.4745711555059553;0.9060642700892851;989.9494047619048;771.5431547619048;557.0;361.0;426.0
4;0.06;19.577380952380953;3.4487857619047566;2.543592282738099;0.9326070550595235;1008.1979166666666;775.4352678571429;566.0;352.0;426.0
3;;21.26264880952381;1.0752851034226198;0.23422976562500028;0.8485476614583325;358.6979166666667;691.7723214285714;491.0;378.0;475.0
1;0.04;16.098958333333332;0.9389888586309512;0.07440879017857148;0.8735961488095244;125.17559523809524;684.9970238095239;541.0;593.0;210.0
2;0.02;18.038690476190474;1.004054078124998;0.14159062723214272;0.8701857901785714;145.9828869047619;684.4293154761905;588.0;387.0;369.0
3;0.08;19.432291666666668;1.3829728816964266;0.518755015625;0.8746916629464297;267.1502976190476;683.6480654761905;493.0;420.0;431.0
2;0.08;17.78720238095238;0.9832305558035708;0.13606666369047613;0.8546084486607144;143.83035714285714;672.6927083333334;624.0;392.0;328.0
4;;21.377232142857142;2.0823327641369054;1.12682387797619;0.9713048072916658;1598.095238095238;834.0892857142857;633.0;264.0;447.0
4;0.04;19.475446428571427;3.378381554315471;2.4996173430059536;0.9056820238095237;996.4494047619048;775.2566964285714;519.0;393.0;432.0
3;0.06;19.24702380952381;1.3709819352678576;0.5045611034226187;0.876800232886904;268.1703869047619;691.3764880952381;516.0;444.0;384.0
1;0.06;16.208333333333332;0.9739261138392857;0.0740960811011904;0.9079262239583347;126.6860119047619;691.1912202380952;516.0;627.0;201.0
2;0.04;17.698660714285715;0.9765598459821431;0.1385649494047618;0.8454776116071443;143.36309523809524;671.4977678571429;617.0;391.0;336.0
1;;16.08779761904762;0.9414647946428552;0.0626105334821429;0.896793046130953;122.32738095238095;668.1502976190476;520.0;608.0;216.0
3;0.04;19.16220238095238;1.3903020989583321;0.5213813764880956;0.8794849568452375;268.34449404761904;695.6160714285714;520.0;443.0;381.0
5;;22.18154761904762;7.5185022261904715;6.172572354910711;1.4089265081845228;8656.42931547619;1812.1666666666667;538.0;267.0;539.0
1;0.08;16.081845238095237;0.9877987805059537;0.07433078273809518;0.9214155312499995;126.53645833333333;686.3921130952381;516.0;601.0;227.0
1;0.02;16.223958333333332;0.9118178266369057;0.07277252976190468;0.8467882938988096;124.38169642857143;676.8802083333334;525.0;597.0;222.0
4;0.08;19.367559523809526;3.392456823660714;2.4707676674107124;0.9486484263392848;1003.3013392857143;783.9873511904761;530.0;368.0;446.0
3;0.02;19.191964285714285;1.3629353571428555;0.5167878720238084;0.8564869397321431;269.58184523809524;699.4099702380952;520.0;433.0;391.0
