evaluationStrategy;turnsPlayed;totalExecutionTime;executionTimeP1;executionTimeP2;nodesP1;nodesP2;winCountP1;winCountP2;tieCount
consecutiveLengthAsMaxDiv1000;17.861678004535147;1.6072585435090705;0.7291146890589569;0.8908223411281208;722.499858276644;749.140873015873;3234.0;1943.0;1879.0
occupiedInRowAsMaxDiv1000;19.534580498866212;2.3060787040816297;1.3781614057539675;0.9479228280895721;961.4039115646259;800.3309240362812;2650.0;2233.0;2173.0
occupiedInRowAsSquareSumDiv1000;19.555697278911566;2.308121520833327;1.394575139030613;0.9324261706349195;969.2263321995465;797.0235260770975;2655.0;2297.0;2104.0
consecutiveLengthAsSquareSumDiv1000;17.171343537414966;1.2845698058390018;0.4179824606009074;0.876762941893427;592.5289115646259;702.4243197278912;3205.0;2486.0;1365.0
