"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"14:28:39:202","51648647692316","   0.101","   3.093"," 3075"," 2100"," 4400","2888","   8.091","   0.818","   0.227","   6.377","   0.644","   0.179"," 54","0","   0.980","   0.099","   0.028","  45.000","    0"
"14:28:39:303","51648880528946","   0.202","   5.622"," 3252"," 2300"," 3600","4620","  11.019","   1.931","   0.536","   9.379","   1.592","   0.442"," 53","0","   0.971","   0.197","   0.055","  45.000","    0"
"14:28:39:403","51649111440418","   0.302","   5.695"," 2841"," 1900"," 3400","2513","   9.028","   2.836","   0.788","   7.711","   2.365","   0.657"," 56","0","   0.731","   0.271","   0.075","  45.000","    0"
"14:28:39:504","51649344273000","   0.403","   4.077"," 3344"," 2700"," 3600","3695","   7.646","   3.609","   1.002","   6.737","   3.046","   0.846"," 53","0","   0.629","   0.334","   0.093","  45.000","    0"
"14:28:39:604","51649575047684","   0.504","   4.024"," 2606"," 2000"," 3200","3227","   4.673","   4.077","   1.132","   4.020","   3.448","   0.958"," 56","0","   0.658","   0.400","   0.111","  45.000","    0"
"14:28:39:705","51649807799476","   0.605","  10.467"," 2889"," 2300"," 3400","3202","  13.432","   5.434","   1.509","  11.434","   4.604","   1.279"," 54","0","   1.148","   0.516","   0.143","  45.000","    0"
"14:28:39:806","51650040511850","   0.706","   8.600"," 3398"," 2900"," 3700","4381","  18.341","   7.286","   2.024","  16.082","   6.228","   1.730"," 71","0","   1.290","   0.646","   0.179","  45.000","    0"
"14:28:39:907","51650271463250","   0.806","   3.951"," 2905"," 1500"," 4200","2562","   9.371","   8.226","   2.285","   7.682","   6.998","   1.944"," 53","0","   0.978","   0.744","   0.207","  45.000","    0"
"14:28:40:007","51650502004272","   0.906","   7.685"," 3093"," 2600"," 3500","4216","  13.628","   9.589","   2.664","  11.840","   8.183","   2.273"," 56","0","   1.008","   0.845","   0.235","  45.000","    0"
"14:28:40:107","51650733473592","   1.006","   5.249"," 2509"," 1600"," 3500","2940","   5.790","  10.171","   2.825","   4.282","   8.613","   2.392"," 55","0","   0.947","   0.940","   0.261","  45.000","    0"
"14:28:40:208","51650966271650","   1.107","   5.710"," 3217"," 2800"," 3600","4019","  10.564","  11.238","   3.122","   8.663","   9.488","   2.636"," 54","0","   1.151","   1.057","   0.293","  45.000","    0"
"14:28:40:309","51651199089796","   1.208","   1.672"," 1895"," 1300"," 3000","1488","   1.413","  11.381","   3.161","   0.728","   9.562","   2.656"," 52","0","   0.649","   1.122","   0.312","  45.000","    0"
"14:28:40:410","51651431890926","   1.309","   0.218"," 1297"," 1200"," 1300","1300","   0.384","  11.420","   3.172","   0.152","   9.577","   2.660"," 52","0","   0.558","   1.179","   0.327","  45.000","    0"
"14:28:40:511","51651664795638","   1.411","   2.191"," 1959"," 1200"," 2400","2122","   2.365","  11.659","   3.239","   1.762","   9.755","   2.710"," 52","0","   0.605","   1.240","   0.344","  45.000","    0"
"14:28:40:613","51651897588822","   1.512","   2.800"," 1374"," 1200"," 1700","1301","   1.975","  11.858","   3.294","   0.797","   9.836","   2.732"," 52","0","   0.946","   1.335","   0.371","  45.000","    0"
"14:28:40:713","51652128018522","   1.612","   6.704"," 1913"," 1400"," 2500","2080","   4.254","  12.284","   3.412","   2.980","  10.134","   2.815"," 52","0","   0.959","   1.431","   0.398","  45.000","    0"
"14:28:40:813","51652358538386","   1.712","   7.649"," 3150"," 2500"," 3500","3817","  14.618","  13.747","   3.818","  12.424","  11.377","   3.160"," 62","0","   1.157","   1.547","   0.430","  45.000","    0"
"14:28:40:913","51652589966690","   1.812","   6.708"," 3022"," 2500"," 3500","3090","  12.913","  15.044","   4.179","  10.735","  12.455","   3.460"," 54","0","   1.269","   1.674","   0.465","  45.000","  350"
"14:28:41:013","51652820438176","   1.912","   7.669"," 3358"," 2800"," 3600","4443","  15.930","  16.637","   4.621","  14.035","  13.859","   3.850"," 55","0","   1.098","   1.784","   0.496","  45.000","  350"
"14:28:41:113","51653050894940","   2.012","   4.962"," 2520"," 1700"," 3600","2588","   5.749","  17.212","   4.781","   4.479","  14.307","   3.974"," 55","0","   0.935","   1.878","   0.522","  45.000","    0"
"14:28:41:214","51653283737732","   2.113","   4.675"," 2966"," 2300"," 3500","3550","   8.254","  18.046","   5.013","   6.547","  14.969","   4.158"," 54","0","   1.002","   1.979","   0.550","  45.000","    0"
"14:28:41:315","51653516541362","   2.214","   3.020"," 1342"," 1200"," 1600","1350","   2.032","  18.252","   5.070","   0.822","  15.052","   4.181"," 53","0","   0.907","   2.071","   0.575","  45.000","    0"
"14:28:41:416","51653749336292","   2.315","   3.019"," 1334"," 1200"," 1700","1373","   2.175","  18.471","   5.131","   0.926","  15.145","   4.207"," 52","0","   0.887","   2.160","   0.600","  45.000","    0"
"14:28:41:517","51653982130518","   2.416","   3.280"," 2138"," 1600"," 3000","2220","   3.284","  18.803","   5.223","   2.082","  15.356","   4.265"," 52","0","   0.816","   2.243","   0.623","  45.000","    0"
"14:28:41:618","51654214921614","   2.517","   1.134"," 1319"," 1200"," 1400","1300","   0.913","  18.895","   5.249","   0.393","  15.395","   4.277"," 52","0","   0.642","   2.308","   0.641","  45.000","    0"
"14:28:41:719","51654446949808","   2.618","  14.934"," 2830"," 2700"," 3000","4009","  17.120","  20.620","   5.728","  14.361","  16.842","   4.678"," 55","0","   1.752","   2.484","   0.690","  45.000","    0"
"14:28:41:820","51654679108642","   2.719","  10.064"," 3508"," 3100"," 3900","4465","  22.265","  22.863","   6.351","  20.025","  18.859","   5.239"," 74","0","   1.231","   2.608","   0.724","  45.000","    0"
"14:28:41:921","51654911957260","   2.820","   2.423"," 2558"," 1700"," 4300","2237","   5.815","  23.451","   6.514","   4.266","  19.291","   5.358"," 53","0","   0.939","   2.703","   0.751","  45.000","    0"
"14:28:42:022","51655144752502","   2.921","   5.350"," 2510"," 1500"," 3200","3235","   7.263","  24.185","   6.718","   5.713","  19.868","   5.519"," 54","0","   0.958","   2.800","   0.778","  45.000","    0"
"14:28:42:122","51655376195222","   3.021","   5.427"," 1970"," 1500"," 2900","1710","   4.108","  24.597","   6.833","   2.275","  20.096","   5.582"," 53","0","   1.128","   2.913","   0.809","  45.000","    0"
"14:28:42:223","51655608954272","   3.122","   5.573"," 2024"," 1800"," 2400","2116","   4.940","  25.096","   6.971","   3.076","  20.407","   5.669"," 53","0","   1.129","   3.027","   0.841","  45.000","    0"
"14:28:42:324","51655839845184","   3.223","   3.856"," 1696"," 1400"," 2300","1726","   3.038","  25.401","   7.056","   1.415","  20.549","   5.708"," 53","0","   1.053","   3.133","   0.870","  45.000","    0"
"14:28:42:425","51656072648064","   3.324","   1.142"," 1321"," 1200"," 1400","1300","   1.344","  25.536","   7.093","   0.444","  20.594","   5.720"," 52","0","   0.800","   3.214","   0.893","  45.000","    0"
"14:28:42:526","51656305397294","   3.425","  11.132"," 2922"," 2700"," 3100","3763","  14.243","  26.975","   7.493","  11.990","  21.805","   6.057"," 54","0","   1.459","   3.361","   0.934","  45.000","  350"
"14:28:42:627","51656538076420","   3.526","  11.200"," 3225"," 2800"," 3500","4158","  19.223","  28.917","   8.032","  16.905","  23.512","   6.531"," 61","0","   1.381","   3.500","   0.972","  45.000","    0"
"14:28:42:727","51656768794348","   3.626","   9.126"," 2815"," 2600"," 3100","3078","  11.371","  30.055","   8.349","   9.222","  24.436","   6.788"," 59","0","   1.281","   3.629","   1.008","  45.000","    0"
"14:28:42:828","51657001535118","   3.727","   7.075"," 3716"," 3200"," 4300","4254","  19.753","  32.051","   8.903","  17.935","  26.247","   7.291"," 57","0","   0.980","   3.728","   1.035","  45.000","    0"
"14:28:42:928","51657232235286","   3.827","   3.291"," 2432"," 1700"," 4200","2369","   4.019","  32.453","   9.015","   2.630","  26.511","   7.364"," 56","0","   0.861","   3.814","   1.059","  45.000","    0"
"14:28:43:029","51657465170926","   3.928","   6.486"," 3122"," 2400"," 3600","4265","  12.224","  33.689","   9.358","  10.409","  27.563","   7.656"," 54","0","   0.990","   3.914","   1.087","  45.000","    0"
"14:28:43:129","51657696100842","   4.028","   8.396"," 2900"," 2400"," 3200","3646","  11.114","  34.803","   9.668","   9.065","  28.472","   7.909"," 54","0","   1.236","   4.038","   1.122","  45.000","    0"
"14:28:43:230","51657928931986","   4.129","   4.082"," 2661"," 2100"," 3100","2515","   5.751","  35.384","   9.829","   3.838","  28.859","   8.017"," 53","0","   1.113","   4.150","   1.153","  45.000","    0"
"14:28:43:330","51658159656762","   4.230","   2.554"," 1989"," 1500"," 2600","1890","   2.790","  35.664","   9.907","   1.541","  29.014","   8.059"," 53","0","   0.887","   4.239","   1.178","  45.000","    0"
"14:28:43:431","51658390481800","   4.330","   1.847"," 1736"," 1500"," 1900","1697","   2.293","  35.893","   9.970","   0.858","  29.100","   8.083"," 52","0","   0.960","   4.335","   1.204","  45.000","    0"
"14:28:43:532","51658623410916","   4.431","   3.701"," 2319"," 1800"," 2700","2806","   5.289","  36.428","  10.119","   3.238","  29.427","   8.174"," 51","0","   1.150","   4.452","   1.237","  45.000","    0"
"14:28:43:632","51658854023350","   4.531","   2.693"," 1802"," 1300"," 2400","1688","   2.101","  36.638","  10.177","   1.296","  29.557","   8.210"," 52","0","   0.671","   4.519","   1.255","  45.000","    0"
"14:28:43:733","51659086756760","   4.632","   9.036"," 2712"," 2300"," 3000","3006","  10.210","  37.670","  10.464","   8.063","  30.371","   8.436"," 57","0","   1.304","   4.650","   1.292","  45.000","    0"
"14:28:43:834","51659319480570","   4.733","   7.846"," 3245"," 2500"," 3700","4577","  15.680","  39.254","  10.904","  13.637","  31.749","   8.819"," 69","0","   1.154","   4.767","   1.324","  45.000","    0"
"14:28:43:934","51659550027306","   4.833","   3.864"," 2629"," 1400"," 3400","2807","   6.385","  39.892","  11.081","   4.734","  32.222","   8.951"," 54","0","   0.919","   4.859","   1.350","  45.000","    0"
"14:28:44:034","51659780735328","   4.933","   5.308"," 3248"," 2500"," 3600","4681","  11.587","  41.053","  11.404","   9.921","  33.216","   9.227"," 54","0","   0.956","   4.955","   1.376","  45.000","    0"
"14:28:44:134","51660011839268","   5.033","   5.645"," 2817"," 2100"," 3500","3580","   8.493","  41.905","  11.640","   7.103","  33.928","   9.425"," 57","0","   0.821","   5.037","   1.399","  45.000","    0"
"14:28:44:235","51660244672790","   5.135","   1.878"," 2946"," 2300"," 3500","3343","   3.752","  42.284","  11.746","   2.476","  34.179","   9.494"," 52","0","   0.887","   5.126","   1.424","  45.000","    0"
"14:28:44:336","51660476508412","   5.235","   1.006"," 2449"," 1800"," 3200","2716","   1.293","  42.414","  11.782","   0.804","  34.260","   9.517"," 52","0","   0.596","   5.186","   1.441","  45.000","    0"
"14:28:44:437","51660708877516","   5.336","   1.413"," 1762"," 1300"," 2900","1686","   1.049","  42.520","  11.811","   0.638","  34.324","   9.534"," 51","0","   0.626","   5.250","   1.458","  45.000","    0"
"14:28:44:537","51660939812438","   5.436","   2.833"," 2285"," 1300"," 2800","2597","   4.172","  42.938","  11.927","   2.673","  34.592","   9.609"," 51","0","   0.923","   5.342","   1.484","  45.000","    0"
"14:28:44:638","51661172610084","   5.537","   1.557"," 1855"," 1200"," 2400","1866","   1.237","  43.063","  11.962","   0.794","  34.672","   9.631"," 52","0","   0.567","   5.399","   1.500","  45.000","    0"
"14:28:44:739","51661405411116","   5.638","   3.759"," 2692"," 2300"," 2900","2980","   4.400","  43.507","  12.085","   2.950","  34.970","   9.714"," 52","0","   1.029","   5.503","   1.529","  45.000","    0"
"14:28:44:840","51661636586208","   5.739","   0.452"," 1503"," 1200"," 2700","1304","   0.675","  43.575","  12.104","   0.181","  34.988","   9.719"," 51","0","   0.649","   5.568","   1.547","  45.000","    0"
"14:28:44:940","51661867229342","   5.839","   0.451"," 1580"," 1200"," 2000","1721","   0.499","  43.625","  12.118","   0.242","  35.013","   9.726"," 51","0","   0.593","   5.628","   1.563","  45.000","    0"
"14:28:45:040","51662098255552","   5.939","   0.355"," 1803"," 1600"," 2000","1695","   0.670","  43.692","  12.137","   0.313","  35.044","   9.734"," 51","0","   0.569","   5.685","   1.579","  45.000","    0"
"14:28:45:141","51662331052998","   6.040","   1.560"," 1865"," 1400"," 2900","1719","   0.873","  43.781","  12.161","   0.513","  35.096","   9.749"," 51","0","   0.623","   5.748","   1.597","  45.000","    0"
"14:28:45:242","51662563829712","   6.141","   8.821"," 2458"," 1700"," 3200","2973","  11.346","  44.927","  12.480","   9.608","  36.066","  10.018"," 55","0","   0.970","   5.846","   1.624","  45.000","    0"
"14:28:45:343","51662796601874","   6.242","   6.420"," 3171"," 2300"," 4000","4120","  16.249","  46.568","  12.936","  14.294","  37.511","  10.420"," 53","0","   1.051","   5.952","   1.653","  45.000","    0"
"14:28:45:443","51663027296612","   6.342","   3.360"," 1611"," 1200"," 2700","1344","   2.149","  46.784","  12.995","   0.952","  37.606","  10.446"," 52","0","   0.899","   6.042","   1.678","  45.000","    0"
"14:28:45:543","51663257963514","   6.442","   3.455"," 2476"," 1900"," 3000","3058","   3.924","  47.177","  13.105","   2.845","  37.891","  10.525"," 51","0","   0.801","   6.122","   1.701","  45.000","    0"
"14:28:45:643","51663488875910","   6.543","   8.052"," 2959"," 2100"," 3400","4369","  13.123","  48.492","  13.470","  11.223","  39.015","  10.838"," 57","0","   1.046","   6.227","   1.730","  45.000","    0"
"14:28:45:744","51663719728608","   6.643","   7.257"," 2922"," 2600"," 3300","3231","  10.024","  49.496","  13.749","   8.120","  39.829","  11.064"," 59","0","   1.177","   6.345","   1.762","  45.000","    0"
"14:28:45:845","51663952571112","   6.744","   4.380"," 2828"," 2300"," 3500","3204","   6.129","  50.115","  13.921","   4.446","  40.278","  11.188"," 53","0","   1.046","   6.451","   1.792","  45.000","    0"
"14:28:45:945","51664183129456","   6.844","   9.656"," 3197"," 2900"," 3600","4548","  15.290","  51.646","  14.346","  13.032","  41.582","  11.551"," 56","0","   1.440","   6.595","   1.832","  45.000","  350"
"14:28:46:045","51664413901748","   6.944","   7.488"," 3564"," 3300"," 3700","4701","  17.672","  53.416","  14.838","  15.215","  43.106","  11.974"," 72","0","   1.267","   6.722","   1.867","  45.000","    0"
"14:28:46:146","51664646624646","   7.045","   2.689"," 2892"," 2000"," 3900","2421","   5.355","  53.956","  14.988","   3.997","  43.510","  12.086"," 55","0","   0.892","   6.812","   1.892","  45.000","    0"
"14:28:46:246","51664877617164","   7.145","   5.781"," 3344"," 3100"," 3600","4635","  11.281","  55.087","  15.302","   9.455","  44.458","  12.349"," 53","0","   1.001","   6.912","   1.920","  45.000","  350"
"14:28:46:346","51665108398116","   7.246","   4.104"," 2622"," 1900"," 3100","3068","   5.384","  55.627","  15.452","   4.164","  44.875","  12.465"," 56","0","   0.820","   6.994","   1.943","  45.000","    0"
"14:28:46:447","51665341234138","   7.347","   1.353"," 2912"," 1500"," 3600","4130","   3.487","  55.979","  15.550","   2.386","  45.116","  12.532"," 53","0","   0.816","   7.077","   1.966","  45.000","    0"
"14:28:46:548","51665573312718","   7.447","   4.587"," 3001"," 2400"," 3400","4035","   6.911","  56.675","  15.743","   5.609","  45.681","  12.689"," 52","0","   0.797","   7.157","   1.988","  45.000","    0"
"14:28:46:649","51665806101932","   7.548","   0.490"," 1829"," 1300"," 2700","1468","   0.751","  56.751","  15.764","   0.237","  45.705","  12.696"," 52","0","   0.627","   7.220","   2.006","  45.000","    0"
"14:28:46:750","51666038895034","   7.649","   3.746"," 2643"," 2300"," 2800","2885","   4.113","  57.167","  15.880","   2.725","  45.980","  12.772"," 52","0","   0.998","   7.321","   2.034","  45.000","    0"
"14:28:46:851","51666271697916","   7.750","   0.801"," 1515"," 1300"," 1900","1610","   0.783","  57.246","  15.902","   0.302","  46.011","  12.781"," 51","0","   0.654","   7.387","   2.052","  45.000","    0"
"14:28:46:952","51666504593078","   7.852","   1.097"," 1785"," 1600"," 2000","1551","   1.951","  57.443","  15.956","   0.652","  46.077","  12.799"," 52","0","   0.982","   7.487","   2.080","  45.000","    0"
"14:28:47:053","51666737352910","   7.953","   2.140"," 1893"," 1200"," 2700","1731","   1.309","  57.575","  15.993","   0.831","  46.161","  12.822"," 52","0","   0.648","   7.552","   2.098","  45.000","    0"
"14:28:47:154","51666970064684","   8.054","   6.655"," 2820"," 1300"," 3500","4043","   9.909","  58.576","  16.271","   8.401","  47.009","  13.058"," 54","0","   0.813","   7.634","   2.121","  45.000","    0"
"14:28:47:255","51667202894600","   8.155","   4.704"," 3312"," 2200"," 3900","3375","  14.179","  60.009","  16.669","  12.272","  48.250","  13.403"," 53","0","   0.967","   7.732","   2.148","  45.000","    0"
"14:28:47:357","51667435633146","   8.256","   5.791"," 3071"," 2500"," 3400","4273","  10.014","  61.021","  16.950","   8.526","  49.111","  13.642"," 55","0","   0.934","   7.826","   2.174","  45.000","    0"
"14:28:47:457","51667666366716","   8.356","   1.315"," 2305"," 1600"," 3100","1733","   2.368","  61.258","  17.016","   0.989","  49.210","  13.669"," 52","0","   0.976","   7.924","   2.201","  45.000","  350"
"14:28:47:558","51667899168772","   8.457","   4.626"," 2912"," 2400"," 3400","4432","   8.325","  62.099","  17.250","   6.708","  49.888","  13.858"," 52","0","   0.962","   8.021","   2.228","  45.000","    0"
"14:28:47:659","51668131961618","   8.558","   5.614"," 3094"," 2600"," 3500","4316","   9.326","  63.041","  17.511","   7.800","  50.676","  14.077"," 53","0","   0.884","   8.110","   2.253","  45.000","    0"
"14:28:47:760","51668364803314","   8.659","   3.515"," 2690"," 2100"," 3000","2866","   4.062","  63.452","  17.625","   2.508","  50.929","  14.147"," 52","0","   1.048","   8.216","   2.282","  45.000","    0"
"14:28:47:861","51668597595488","   8.760","   0.190"," 1303"," 1200"," 1400","1300","   0.446","  63.497","  17.638","   0.115","  50.941","  14.150"," 51","0","   0.634","   8.280","   2.300","  45.000","    0"
"14:28:47:961","51668828043178","   8.860","   1.111"," 1817"," 1300"," 2200","1812","   0.766","  63.573","  17.659","   0.444","  50.985","  14.163"," 51","0","   0.607","   8.341","   2.317","  45.000","  350"
"14:28:48:062","51669060409286","   8.961","   7.265"," 2801"," 1800"," 3500","4034","  11.748","  64.758","  17.988","  10.052","  51.999","  14.444"," 60","0","   0.933","   8.435","   2.343","  45.000","    0"
"14:28:48:163","51669293240160","   9.062","   3.636"," 3596"," 2900"," 4400","3775","  12.411","  66.012","  18.337","  10.704","  53.081","  14.745"," 52","0","   0.923","   8.529","   2.369","  45.000","    0"
"14:28:48:263","51669523726940","   9.162","   6.256"," 3047"," 2700"," 3400","4351","  10.433","  67.056","  18.627","   9.021","  53.983","  14.995"," 58","0","   0.891","   8.618","   2.394","  45.000","    0"
"14:28:48:364","51669756562372","   9.263","   2.174"," 3102"," 2300"," 3600","3741","   4.427","  67.503","  18.751","   3.013","  54.287","  15.080"," 52","0","   0.918","   8.710","   2.420","  45.000","    0"
"14:28:48:465","51669989364132","   9.364","   1.863"," 2710"," 2200"," 3000","2906","   2.254","  67.731","  18.814","   1.745","  54.464","  15.129"," 53","0","   0.588","   8.770","   2.436","  45.000","    0"
"14:28:48:565","51670220223306","   9.464","   1.242"," 2485"," 1900"," 3200","2441","   1.333","  67.865","  18.851","   0.951","  54.559","  15.155"," 51","0","   0.588","   8.829","   2.452","  45.000","    0"
"14:28:48:666","51670453059510","   9.565","   4.708"," 3165"," 2800"," 3600","4004","   8.274","  68.701","  19.084","   6.523","  55.218","  15.338"," 52","0","   0.985","   8.928","   2.480","  45.000","    0"
"14:28:48:767","51670685037000","   9.666","   3.504"," 2713"," 2000"," 3000","2929","   3.965","  69.100","  19.194","   2.419","  55.462","  15.406"," 52","0","   1.049","   9.034","   2.509","  45.000","    0"
"14:28:48:868","51670917831684","   9.767","   0.626"," 1701"," 1200"," 2700","1306","   0.573","  69.158","  19.211","   0.210","  55.483","  15.412"," 51","0","   0.613","   9.096","   2.527","  45.000","    0"
"14:28:48:969","51671150636402","   9.868","   1.761"," 1484"," 1200"," 2600","1300","   1.002","  69.259","  19.239","   0.505","  55.534","  15.426"," 51","0","   0.574","   9.154","   2.543","  45.000","    0"
"14:28:49:069","51671381337834","   9.968","   7.038"," 2891"," 1400"," 3600","3769","  10.292","  70.290","  19.525","   8.782","  56.413","  15.670"," 59","0","   0.827","   9.237","   2.566","  45.000","    0"
"14:28:49:170","51671614169316","  10.069","   4.097"," 2936"," 1500"," 4300","2873","  14.836","  71.789","  19.941","  13.082","  57.735","  16.038"," 53","0","   0.947","   9.332","   2.592","  45.000","    0"
"14:28:49:270","51671845193952","  10.169","   5.207"," 3112"," 2300"," 3600","4202","   9.030","  72.695","  20.193","   7.622","  58.500","  16.250"," 58","0","   0.862","   9.419","   2.616","  45.000","    0"
"14:28:49:371","51672078026642","  10.271","   2.753"," 2890"," 2100"," 3600","3087","   5.720","  73.273","  20.353","   4.387","  58.943","  16.373"," 53","0","   0.870","   9.507","   2.641","  45.000","    0"
"14:28:49:472","51672310818792","  10.372","   1.526"," 2541"," 2100"," 3000","3065","   2.050","  73.480","  20.411","   1.478","  59.092","  16.414"," 52","0","   0.616","   9.569","   2.658","  45.000","    0"
"14:28:49:573","51672542072122","  10.472","   0.681"," 1824"," 1200"," 2800","1662","   0.648","  73.545","  20.429","   0.344","  59.127","  16.424"," 51","0","   0.584","   9.628","   2.674","  45.000","    0"
"14:28:49:673","51672773093400","  10.572","   5.673"," 2514"," 1500"," 3100","2772","   8.022","  74.349","  20.653","   6.965","  59.825","  16.618"," 53","0","   0.763","   9.704","   2.696","  45.000","    0"
"14:28:49:774","51673005918892","  10.673","   3.432"," 2958"," 2400"," 3500","3028","   4.866","  74.841","  20.789","   3.177","  60.146","  16.707"," 51","0","   1.101","   9.815","   2.727","  45.000","    0"
"14:28:49:875","51673238720620","  10.774","   0.313"," 1320"," 1200"," 1400","1343","   0.414","  74.883","  20.801","   0.111","  60.157","  16.710"," 51","0","   0.594","   9.875","   2.743","  45.000","    0"
"14:28:49:975","51673469198496","  10.874","   2.255"," 2236"," 1600"," 3300","1938","   1.366","  75.019","  20.839","   0.920","  60.249","  16.736"," 51","0","   0.651","   9.941","   2.761","  45.000","    0"
"14:28:50:075","51673700098872","  10.975","  16.414"," 3101"," 2400"," 3500","4238","  24.575","  77.482","  21.523","  22.825","  62.537","  17.371"," 69","0","   1.443","  10.085","   2.801","  45.000","  350"
"14:28:50:176","51673931046892","  11.075","  13.396"," 4030"," 3400"," 4300","4724","  38.159","  81.307","  22.585","  35.684","  66.114","  18.365"," 68","0","   1.059","  10.191","   2.831","  45.000","    0"
"14:28:50:276","51674161592732","  11.175","  18.445"," 4083"," 3800"," 4300","4800","  51.452","  86.456","  24.015","  49.741","  71.091","  19.748"," 67","0","   1.136","  10.305","   2.863","  45.000","    0"
"14:28:50:376","51674392411882","  11.275","  19.735"," 4064"," 3900"," 4200","4800","  51.563","  91.621","  25.450","  49.697","  76.070","  21.130"," 74","0","   1.134","  10.419","   2.894","  45.000","    0"
"14:28:50:476","51674623494470","  11.375","  15.116"," 3897"," 3700"," 4100","4746","  36.058","  95.238","  26.455","  34.222","  79.502","  22.084"," 67","0","   1.073","  10.526","   2.924","  45.000","    0"
"14:28:50:577","51674854451060","  11.476","  14.407"," 3921"," 3700"," 4100","4718","  37.698","  99.017","  27.505","  36.103","  83.121","  23.089"," 64","0","   1.106","  10.637","   2.955","  45.000","    0"
"14:28:50:677","51675084878692","  11.576","  20.243"," 3714"," 3600"," 3800","4799","  36.964"," 102.714","  28.532","  34.785","  86.600","  24.056"," 60","0","   1.571","  10.794","   2.998","  45.000","    0"
"14:28:50:777","51675315896746","  11.676","  14.319"," 3727"," 3500"," 4000","4800","  32.017"," 105.924","  29.423","  29.405","  89.548","  24.875"," 70","0","   1.374","  10.932","   3.037","  45.000","    0"
"14:28:50:877","51675546578130","  11.776","  23.011"," 3810"," 3600"," 4100","4800","  47.245"," 110.654","  30.737","  44.032","  93.957","  26.099"," 65","0","   1.919","  11.124","   3.090","  45.000","  350"
"14:28:50:977","51675777281334","  11.876","  25.349"," 3724"," 3600"," 3900","4800","  47.202"," 115.380","  32.050","  45.194","  98.482","  27.356"," 71","0","   1.335","  11.258","   3.127","  45.000","    0"
"14:28:51:077","51676007996038","  11.976","  20.806"," 3924"," 3700"," 4100","4763","  48.201"," 120.207","  33.391","  46.492"," 103.138","  28.649"," 72","0","   1.109","  11.369","   3.158","  45.000","    0"
"14:28:51:177","51676238635752","  12.076","  21.465"," 3895"," 3800"," 4100","4797","  49.155"," 125.128","  34.758","  46.823"," 107.825","  29.951"," 71","0","   1.274","  11.497","   3.193","  45.000","    0"
"14:28:51:278","51676469535092","  12.177","  22.679"," 3924"," 3800"," 4100","4800","  52.234"," 130.363","  36.212","  50.731"," 112.909","  31.364"," 73","0","   1.197","  11.616","   3.227","  45.000","    0"
"14:28:51:378","51676699981172","  12.277","  29.999"," 3829"," 3700"," 4000","4800","  57.002"," 136.064","  37.796","  54.423"," 118.353","  32.876"," 77","0","   1.558","  11.772","   3.270","  45.000","    0"
"14:28:51:478","51676930774676","  12.377","  19.638"," 3991"," 3800"," 4100","4800","  48.304"," 140.903","  39.140","  46.844"," 123.045","  34.179"," 82","0","   0.909","  11.863","   3.295","  45.000","    0"
"14:28:51:578","51677161328166","  12.477","  21.214"," 3949"," 3800"," 4100","4800","  54.236"," 146.330","  40.647","  52.731"," 128.322","  35.645"," 77","0","   1.075","  11.971","   3.325","  45.000","    0"
"14:28:51:678","51677391933230","  12.577","  21.300"," 3953"," 3700"," 4100","4800","  49.000"," 151.234","  42.009","  47.368"," 133.062","  36.962"," 66","0","   1.110","  12.082","   3.356","  45.000","    0"
"14:28:51:778","51677623096366","  12.677","  17.541"," 3757"," 3600"," 4000","4799","  29.702"," 154.214","  42.837","  27.431"," 135.815","  37.726"," 65","0","   1.590","  12.242","   3.400","  45.000","    0"
"14:28:51:878","51677853604486","  12.777","  21.221"," 3796"," 3600"," 4000","4730","  38.495"," 158.065","  43.907","  36.432"," 139.460","  38.739"," 70","0","   1.436","  12.385","   3.440","  45.000","    0"
"14:28:51:979","51678085675408","  12.878","  17.697"," 3960"," 3800"," 4300","4800","  45.546"," 162.653","  45.181","  43.812"," 143.873","  39.965"," 70","0","   1.055","  12.491","   3.470","  45.000","    0"
"14:28:52:079","51678316253956","  12.978","  16.261"," 4024"," 3800"," 4200","4800","  39.738"," 166.630","  46.286","  38.198"," 147.695","  41.026"," 73","0","   1.018","  12.593","   3.498","  45.000","    0"
"14:28:52:179","51678546941098","  13.078","  26.225"," 3813"," 3700"," 4000","4800","  47.053"," 171.341","  47.595","  44.859"," 152.187","  42.274"," 68","0","   1.620","  12.755","   3.543","  45.000","    0"
"14:28:52:279","51678777419140","  13.178","  31.563"," 3683"," 3600"," 3800","4800","  50.057"," 176.348","  48.986","  47.737"," 156.962","  43.601"," 69","0","   1.890","  12.945","   3.596","  45.000","    0"
"14:28:52:380","51679010140938","  13.279","  44.250"," 3593"," 3500"," 3600","4800","  59.786"," 182.387","  50.663","  57.364"," 162.756","  45.210"," 70","0","   2.348","  13.182","   3.662","  45.000","    0"
