id; system time; board height; board width; game type; win length; gravity; turns played; initial board; final board; result; errors; full duration; pointsP1; expansion strategy of Player 1; cache of Player 1; watched nodes of Player 1; evaluation stategy of Player 1; exit condition type of Player 1; exit condition of Player 1; total Speed of Player 1; expansion strategy of Player 2; cache of Player 2; watched nodes of Player 2; evaluation stategy of Player 2; exit condition type of Player 2; exit condition of Player 2; total Speed of Player 2; 
663; 14:58:37:091; 8; 8; ChessGameState;  - ;  - ; 77; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ___N____|__p___K_|_k_p____|______R_|________|r____P__|___Npn__|____pP__|; Running;  timed out ; 60296096000; -0.025000000000000022; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 728; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@29126502; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.15000000000000002}TurnCountingCondition{turnsLookedForward=2}); 32019120000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 661; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@55c757eb; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.0}TurnCountingCondition{turnsLookedForward=2}); 28772561000; 
664; 14:58:40:244; 8; 8; ChessGameState;  - ;  - ; 79; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ___p____|_______K|_p______|__k____r|________|___p_b__|______r_|________|; Won: P1;  - ; 3097583000; 1.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 372; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@ef7c5df; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=2}CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}); 2411088000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 39; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@70b24506; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.1}TurnCountingCondition{turnsLookedForward=1}); 708625000; 
665; 14:58:41:087; 8; 8; ChessGameState;  - ;  - ; 129; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; __rpP___|__p_____|__p_____|________|_______b|__k__b__|n_rp____|___Kp___|; Won: P1;  - ; 6628239000; 1.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 1375; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@3ac8b5cf; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=2}CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}); 6571647000; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 64; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@5e79c77c; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=1}CompareToOtherOptionsByHeuristicExitCondition{difference=0.05}); 109186000; 
666; 14:58:44:816; 8; 8; ChessGameState;  - ;  - ; 181; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ___p____|________|q_______|_r______|K_______|________|________|_k______|; Won: P1;  - ; 6736418000; 1.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 1578; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@79135784; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=2}CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}); 5547639000; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 90; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@41a29836; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.1}TurnCountingCondition{turnsLookedForward=1}); 1237899000; 
667; 14:58:47:310; 8; 8; ChessGameState;  - ;  - ; 29; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ________|_p__P__N|_p____P_|___P____|kp__n_qK|bp___b__|__p_____|rp__P___|; Won: P1;  - ; 5428102000; 1.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 104; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@22741323; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}TurnCountingCondition{turnsLookedForward=2}); 5422216000; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 14; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@2827ba64; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=1}CompareToOtherOptionsByHeuristicExitCondition{difference=0.15000000000000002}); 49509000; 
668; 14:58:48:298; 8; 8; ChessGameState;  - ;  - ; 22; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; _p____PR|__p___PN|Qp___P_B|____P_K_|kp____P_|bp____P_|np___q__|r__p____|; Won: P2;  - ; 3043619000; -1.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 87; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@2005cc1e; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}TurnCountingCondition{turnsLookedForward=2}); 2866945000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 11; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@7b6031c4; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}TurnCountingCondition{turnsLookedForward=1}); 200445000; 
669; 14:58:51:160; 8; 8; ChessGameState;  - ;  - ; 11; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; rp___BPR|_p_____N|bp____P_|qp__NnPQ|kp____PK|b_p___PB|n_p___P_|r__pP__R|; Won: P1;  - ; 2514304000; 1.0; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 84; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@1ad2d637; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.2}TurnCountingCondition{turnsLookedForward=2}); 2369513000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 5; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@72554311; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.25}TurnCountingCondition{turnsLookedForward=1}); 165061000; 
670; 14:58:51:519; 8; 8; ChessGameState;  - ;  - ; 117; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; ________|________|_k______|________|____K___|__rp____|____P___|____pn__|; Running;  timed out ; 60147306000; 0.225; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 1088; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@58c98678; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.15000000000000002}TurnCountingCondition{turnsLookedForward=2}); 34376297000; BreadthFirstTreeTraversalIterator; CompressedKnownReactionPath; 739; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@107d6658; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.1}TurnCountingCondition{turnsLookedForward=2}); 26268267000; 
671; 14:58:51:869; 8; 8; ChessGameState;  - ;  - ; 57; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; __q_pNP_|n_p_____|___p____|__p_P__R|____b__B|r_______|n_k__K__|_p___BP_|; Running;  timed out ; 63146232000; 0.17499999999999993; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 679; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@5ec9f303; OrExitCondition; or(CompareToOtherOptionsByHeuristicExitCondition{difference=0.15000000000000002}TurnCountingCondition{turnsLookedForward=2}); 58594215000; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 707; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@25b6c619; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=2}CompareToOtherOptionsByHeuristicExitCondition{difference=0.05}); 5074307000; 
672; 14:58:52:189; 8; 8; ChessGameState;  - ;  - ; 912; rp____PR|np____PN|bp____PB|qp____PQ|kp____PK|bp____PB|np____PN|rp____PR|; __B_____|K_______|________|________|________|________|_____Q_k|________|; Running;  timed out ; 60021299000; -0.2; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 3143; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@40520db1; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=2}CompareToOtherOptionsByHeuristicExitCondition{difference=0.15000000000000002}); 12325161000; DepthFirstTreeTraversalIterator; CompressedKnownReactionPath; 14530; de.nordakademie.treeOptimizationAnalysis.heuristicEvaluations.ChessHeuristicEvaluation@69985c6e; OrExitCondition; or(TurnCountingCondition{turnsLookedForward=2}CompareToOtherOptionsByHeuristicExitCondition{difference=0.1}); 48155345000; 
